Badevanipeta,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
Budagatlapalem,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
D. mastyalesam,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
K. mastyalesam,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
Kd palem,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
Rallapeta,Srikakulam,Etcherla,,,,,,,,,,,,,,,,,
Balarampuram,Srikakulam,Gara,,,,,,,,,,,,,,,,,
Bandaruvanipeta,Srikakulam,Gara,,,,,,,,,,,,,,,,,
Komaravanipeta h/o korlam,Srikakulam,Gara,,,,,,,,,,,,,,,,,
Mogadalapadu,Srikakulam,Gara,,,,,,,,,,,,,,,,,
Srikurmam,Srikakulam,Gara,,,,,,,,,,,,,,,,,
Donkuru,Srikakulam,Ichchapuram,,,,,,,,,,,,,,,,,
Chinakarrivanipalem,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
Edduvanipalem,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
K. calingapatnam,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
Kapasukuudi,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
P.k. palem,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
Bethapapuram,Srikakulam,Kaviti,,,,,,,,,,,,,,,,,
Geddelavuru,Srikakulam,Laveru,,,,,,,,,,,,,,,,,
M. ganguvada,Srikakulam,Laveru,,,,,,,,,,,,,,,,,
Guppdipeta,Srikakulam,Polaki,,,,,,,,,,,,,,,,,
Jogampeta,Srikakulam,Polaki,,,,,,,,,,,,,,,,,
Peddakoviripeta,Srikakulam,Polaki,,,,,,,,,,,,,,,,,
Rajarampuram,Srikakulam,Polaki,,,,,,,,,,,,,,,,,
Allivalasa,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Cheekatipeta,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Chinakovvada,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Donipeta,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Gurayyapeta,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Jeerupalem,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Komaravanipeta h/o kotcherla,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Kothamukkam,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
Peddakovvada,Srikakulam,Ranastalam,,,,,,,,,,,,,,,,,
