Padmanabham ,Mamidi lova,Mamidi lova tank,LS,GP,Auction,8,3.5
Padmanabham ,Potnuru,Majjivani tank,SS,GP,Auction,20,3
Padmanabham ,Potnuru,Raju tank,SS,GP,Auction,12,4
Padmanabham ,Potnuru,Rubbavani Tank,SS,GP,Auction,11,3
Padmanabham ,Potnuru,Manda Tank,SS,GP,Auction,11,2
Padmanabham ,Reddipalli,Komati Tank,SS,GP,Auction,8,2
Padmanabham ,Reddipalli,Seeripedda Tank,SS,GP,Auction,11,4
Padmanabham ,Reddipalli,Oodigala Tank,SS,GP,Auction,4,1
Padmanabham ,Reddipalli,Ayyavani Tank,SS,GP,Auction,8,1
Padmanabham ,Reddipalli,Perraraju tank,SS,GP,Auction,10,2
Padmanabham ,Reddipalli,Nalla sagaram,SS,GP,Auction,12,3
Padmanabham ,Reddipalli,chinna cheruvu,SS,GP,Auction,9,3
Padmanabham ,Reddipalli,Kotha Cheruvu,SS,GP,Auction,10,3
Padmanabham ,Reddipalli,Kanta Tank,SS,GP,Auction,8,2
Padmanabham ,Reddipalli,Nookambika Koneru,SS,GP,Auction,7,2
Padmanabham ,Reddipalli,Pedda Cheruvu,SS,GP,Auction,12,3
Padmanabham ,Nerellavalasa,Nerella Tank,SS,GP,Auction,5,1
Padmanabham ,Nerellavalasa,Mukundavani tank,SS,GP,Auction,6,2
Padmanabham ,Koyyapeta,Guranna tank,SS,GP,Auction,3,1
Padmanabham ,Vijayandhapuram,chellavani tank,SS,GP,Auction,5,2
Padmanabham ,Ananthavaram,Raju Banda,SS,GP,Auction,8,2
Padmanabham ,Ananthavaram,Sanyasi Tank,SS,GP,Auction,4,2
Padmanabham ,Ananthavaram,Gundam Tank,SS,GP,Auction,3,1
Padmanabham ,Ananthavaram,Peddayya Tank,SS,GP,Auction,4,2
Padmanabham ,Ananthavaram,Thammunaidu Tank,SS,GP,Auction,7,2
Padmanabham ,Kovvada,Patha Tank,SS,GP,Auction,4,1
Padmanabham ,Bhandevapuram,Yerra Tank,SS,GP,Auction,5,2
Padmanabham ,B.R.Tallavalasa,Tulasi Banda,SS,GP,Auction,3,1
Padmanabham ,Gandhavaram,Karrivani Tank,SS,GP,Auction,6,2
Padmanabham ,Gandhavaram,Narasimharaju Tank,SS,GP,Auction,6,2
Anandhapuram ,Sontyam,Thangeti tank,SS,GP,Auction,8,4
Anandhapuram ,Sontyam,Ammanna Koneru,SS,GP,Auction,6,2
Anandhapuram ,Anandhapuram ,Pusavani Tank,SS,GP,Auction,5,2
Anandhapuram ,Anandhapuram ,Dattanna Tank,SS,GP,Auction,7,3
Anandhapuram ,Anandhapuram ,Siruguduvani Tank,SS,GP,Auction,4,1
Anandhapuram ,Gottipalli,Sunnapu Tank,SS,GP,Auction,6,3
Anandhapuram ,Gottipalli,Rajasagaram Tank,SS,GP,Auction,4,2
Anandhapuram ,Mutcherla,Pedda Tank,SS,GP,Auction,5,3
Anandhapuram ,Chandaka ,Ayyavani Tank,SS,GP,Auction,4,1
Anandhapuram ,Pekeru,Veeraju Tank,SS,GP,Auction,6,3
Anandhapuram ,Gidijala ,Appalavani Tank,SS,GP,Auction,4,1
Pendurthy,Rampuram,Poosalavani tank,SS,GP,Auction,8,3
Pendurthy,Pinagadi,Pentavani tank,SS,GP,Auction,7,2
Pendurthy,Gorapalli,Sudibanda Tank,SS,GP,Auction,8,2
Pendurthy,Gorapalli,Appalanaidu Tank,SS,GP,Auction,10,2
Pendurthy,Narava,Aava Tnak,SS,GP,Auction,9,3
Pendurthy,Narava,Laxmisagaram Tank,SS,GP,Auction,8,2
Pendurthy,Narava,Narasimhasagaram tank,SS,GP,Auction,8,3
Pendurthy,Narava,Ravivalasa Tank,SS,GP,Auction,7,3
Pendurthy,Gurampalem,Pedda Tank,SS,GP,Auction,7,2
Pendurthy,Gurampalem,Yerra Tank,SS,GP,Auction,6,1
Pendurthy,Gurampalem,Peda Jogi Banda,SS,GP,Auction,8,4
Pendurthy,Gurampalem,Pina Cheruvu,SS,GP,Auction,7,2
Pendurthy,Gurampalem,Gurampalem Koneru,SS,GP,Auction,8,2
Pendurthy,Saripalli,Pencheru Tank,SS,GP,Auction,9,2
Pendurthy,Saripalli,Konda Banda,SS,GP,Auction,5,1
Pendurthy,Saripalli,Nakkabanda Tank,SS,GP,Auction,7,2
Pendurthy,Pendurthy,Pedda Tank,SS,GP,Auction,7,2
Pendurthy,Pendurthy,Gokavani Tank,SS,GP,Auction,6,2
BHEEMILI,,Nookambika Tank,SS,MI,LEASE,150.00,25.00
BHEEMILI,,Raju & Venkatapathi Raju Tank,SS,MI,LEASE,60.00,15.00
BHEEMILI,,Katamayya Tank,SS,MI,LEASE,47.00,10.00
BHEEMILI,,Mukundaraju Tank,SS,MI,LEASE,120.00,15.00
BHEEMILI,,Dattappa Tank,SS,MI,LEASE,50.00,8.00
BHEEMILI,,Yanadri Tank,SS,MI,LEASE,55.00,7.00
BHEEMILI,Gambheeram,Gambheeram gedda,LS,reservoir,LEASE,70.00,40.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
