Salur,Chinachipuruvalasa,Vengalarayasagaram Reservoir,PE,Reservoir,License,1320,990.00
Salur,Salur,Rangasagaram,LS,MI,Lease ,85,42.50
Salur,Salur,Sankrotuvani tank,LS,MI,Lease ,15,7.50
Salur,Salur,Perasagaram,LS,MI,Lease ,80,40.00
Salur,Salur,Polinaidu tank,LS,MI,Lease ,12,6.00
Salur,Gummadam,Challidivani tank,LS,MI,Lease ,30,15.00
Salur,Bangarampeta,Kanapoonu tank,SS,MI,Lease ,25,6.25
Salur,Bangarampeta,Peddaraju tank,SS,MI,Lease ,18,4.50
Salur,Bangarampeta,Narasaraju tank,SS,MI,Lease ,12,3.00
Salur,Salur,Dasarivenkkannapunu,SS,MI,Lease ,18,4.50
Salur,Salur,Mirthivani tank,SS,MI,Lease ,0.5,0.50
Salur,jeegiram,regula banda,SS,GP,Auction,3.00,0.75
Salur,jeegiram,laxmisagaram,SS,GP,Auction,6.00,1.50
Salur,jeegiram,kotyavani tank,SS,GP,Auction,3.00,0.75
Salur,kandulapadam,naidu tank,SS,GP,Auction,4.00,1.00
Salur,kandulapadam,bhupathi tank,SS,GP,Auction,11.00,2.75
Salur,kandulapadam,kanapalabanda,SS,GP,Auction,10.00,2.50
Salur,kandulapadam,komati banda,SS,GP,Auction,4.00,1.00
Salur,karasavalasa,nelupati tank,SS,GP,Auction,8.00,2.00
Salur,karasavalasa,dhagaravalasa gedda,SS,GP,Auction,8.00,2.00
Salur,karasavalasa,gedelabanda,SS,GP,Auction,9.00,2.25
Salur,karasavalasa,kummavani tank,SS,GP,Auction,6.00,1.50
Salur,kothavalasa,batti gedda,SS,GP,Auction,5.00,1.25
Salur,kothavalasa,gundammabanda,SS,GP,Auction,6.00,1.50
Salur,kothavalasa,singarapunu,SS,GP,Auction,3.00,0.75
Salur,kothavalasa,daragalavalasa gedda,SS,GP,Auction,11.00,2.75
Salur,kothavalasa,chappapunu,SS,GP,Auction,15.00,3.75
Salur,kurmaraju peta,thammmanna,SS,GP,Auction,7.00,1.75
Salur,kurmarajupeta,manyam tank,SS,GP,Auction,3.00,0.75
Salur,kurmarajupeta,thivva tank,SS,GP,Auction,26.00,6.50
Salur,kurmaraju peta,bhalabhadruni tank,SS,GP,Auction,13.00,3.25
Salur,kurukutti,yerakannadora banda,SS,GP,Auction,4.00,1.00
Salur,kurukutti,rellagedda,SS,GP,Auction,23.00,5.75
Salur,MAVUDI,panukutank,SS,GP,Auction,2.00,0.50
Salur,mavudi,ponitank,SS,GP,Auction,14.00,3.50
Salur,mavudi,kagabanda,SS,GP,Auction,2.00,0.50
Salur,mavudi,kesara banda,SS,GP,Auction,3.00,0.75
Salur,mavudi,marrimanubanda,SS,GP,Auction,4.00,1.00
Salur,Mavudi,Golusulametta,SS,GP,Auction,25.00,6.25
Salur,narlavalasa,dasubatti tank,SS,GP,Auction,11.00,2.75
Salur,narlavalasa,voorabanda,SS,GP,Auction,10.00,2.50
Salur,narlavalasa,gubilligedda,SS,GP,Auction,19.00,4.75
Salur,narlavalasa,yerapedda tank,SS,GP,Auction,9.00,2.25
Salur,NELIPARTHI,mallammatank,SS,GP,Auction,22.00,5.50
Salur,neliparti,cheruku palli,SS,GP,Auction,23.00,5.75
Salur,neliparti,manyam banda,SS,GP,Auction,11.00,2.75
Salur,neliparti,panda banda,SS,GP,Auction,3.00,0.75
Salur,neliparti,bapanna banda,SS,GP,Auction,9.00,2.25
Salur,parannavlasa,gopanna tank,SS,GP,Auction,10.00,2.50
