District Name,Mandal Name,FLC Name,Total Count,Verified Count,Balance Count
Srikakulam,Etcherla,Badevanipeta,44,38,6
Srikakulam,Etcherla,Budagatlapalem,89,65,24
Srikakulam,Etcherla,D. mastyalesam,27,26,1
Srikakulam,Etcherla,K. mastyalesam,20,16,4
Srikakulam,Etcherla,Kd palem,31,30,1
Srikakulam,Etcherla,Rallapeta,6,2,4
Srikakulam,Gara,Balarampuram,21,21,0
Srikakulam,Gara,Bandaruvanipeta,209,151,58
Srikakulam,Gara,Komaravanipeta h/o korlam,5,3,2
Srikakulam,Gara,Mogadalapadu,18,16,2
Srikakulam,Gara,Srikurmam,5,3,2
Srikakulam,Ichchapuram,Donkuru,69,64,5
Srikakulam,Kaviti,Chinakarrivanipalem,102,70,32
Srikakulam,Kaviti,Edduvanipalem,73,70,3
Srikakulam,Kaviti,K. calingapatnam,21,18,3
Srikakulam,Kaviti,Kapasukuudi,58,58,0
Srikakulam,Kaviti,P.k. palem,51,47,4
Srikakulam,Kaviti,Bethapapuram,0,0,0
Srikakulam,Laveru,Geddelavuru,0,0,0
Srikakulam,Laveru,M. ganguvada,0,0,0
Srikakulam,Polaki,Guppdipeta,71,40,31
Srikakulam,Polaki,Jogampeta,16,7,9
Srikakulam,Polaki,Peddakoviripeta,0,0,0
Srikakulam,Polaki,Rajarampuram,86,46,40
Srikakulam,Ranastalam,Allivalasa,21,20,1
Srikakulam,Ranastalam,Cheekatipeta,0,0,0
Srikakulam,Ranastalam,Chinakovvada,11,8,3
Srikakulam,Ranastalam,Donipeta,1,0,1
Srikakulam,Ranastalam,Gurayyapeta,11,11,0
Srikakulam,Ranastalam,Jeerupalem,91,65,26
Srikakulam,Ranastalam,Komaravanipeta h/o kotcherla,8,8,0
Srikakulam,Ranastalam,Kothamukkam,19,16,3
Srikakulam,Ranastalam,Peddakovvada,0,0,0
Srikakulam,Santhabommali,Bavanapadu,161,79,82
Srikakulam,Santhabommali,Geddalapadu,35,13,22
Srikakulam,Santhabommali,Jagannadhapuram,0,0,0
Srikakulam,Santhabommali,Kumunduvanipeta,0,0,0
Srikakulam,Santhabommali,M sunnapalli,12,10,2
Srikakulam,Santhabommali,Maruvada,9,4,5
Srikakulam,Santhabommali,Pathameghavaram,2,1,1
Srikakulam,Santhabommali,Pittavanipeta,8,7,1
Srikakulam,Santhabommali,Ummilada,0,0,0
Srikakulam,Sompeta,Baruvakothuru,18,18,0
Srikakulam,Sompeta,Battigalluru,43,38,5
Srikakulam,Sompeta,Gollagandi,21,21,0
Srikakulam,Sompeta,Isakalapalem,50,44,6
Srikakulam,Sompeta,Ramayyapatnam,13,11,2
Srikakulam,Sompeta,Yekuvuru,54,32,22
Srikakulam,Srikakulam,Kunduvanipeta,37,24,13
Srikakulam,Srikakulam,Pukkallapeta,27,25,2
