District Name,Mandal Name,Village Name
Srikakulam,Hiramandalam, K Jpuram,Kotha Tank
Srikakulam,Hiramandalam, K Jpuram,Boddakarra
Srikakulam,Hiramandalam,A agraharam,Kotha Tank
Srikakulam,Hiramandalam,A koduru,Naidu Tank
Srikakulam,Hiramandalam,A koduru,Chintala Tank
Srikakulam,Hiramandalam,A koduru,Jannivari Tank
Srikakulam,Hiramandalam,A koduru,Sakijola Tank
Srikakulam,Hiramandalam,A koduru,Kummaravani Tank
Srikakulam,Hiramandalam,A koduru,Santha Koneru 
Srikakulam,Hiramandalam,A koduru,Polinaidu Tank
Srikakulam,Hiramandalam,A Ravivalasa,Kasanna Tank
Srikakulam,Hiramandalam,A RAVIVALSA,Nowguda Tank
Srikakulam,Lakshminarsupeta,A RAVIVALSA,Kondagedda Tank
Srikakulam,Sarubujjili,A RAVIVALSA,Marri Tank
Srikakulam,Sarubujjili,A RAVIVALSA,Voora Tank
Srikakulam,Sarubujjili,A S Palli,Ravikarra Tank
Srikakulam,Hiramandalam,A S Palli,Pedda Tank
Srikakulam,Hiramandalam,A S Palli,Chinna Tank
Srikakulam,Hiramandalam,A S Palli,Voora Tank
Srikakulam,Hiramandalam,A VELAGA VALASA,Naidu Tank
Srikakulam,Hiramandalam,A. Polavaram,Kopmati Tank
Srikakulam,Hiramandalam,A. Polavaram,Kamasali Tank
Srikakulam,Hiramandalam,A. Venkampeta,Kotha Tank
Srikakulam,Hiramandalam,A. Venkampeta,Tathapappamma Tank
Srikakulam,Hiramandalam,A. Venkampeta,Gowtham Naidu Tank
Srikakulam,Hiramandalam,A.K Mallavaram,Komati Tank
Srikakulam,Hiramandalam,A.Kothapalli,Tadikarra Tank
Srikakulam,Hiramandalam,A.kothapalli,Jeedukarra Tank
Srikakulam,Hiramandalam,A.kothapalli,Jangamvani Tank
Srikakulam,Hiramandalam,A.kothapalli,Panthuluvani Tank
Srikakulam,Hiramandalam,A.L.Puram,Koneeru Tank
Srikakulam,Hiramandalam,A.l.puram,Buvathivani Tank
Srikakulam,Hiramandalam,A.l.puram,Lingareddy Tank
Srikakulam,Hiramandalam,A.P.Trayam,Voora Tank
Srikakulam,Hiramandalam,A.S. Peta,Kondavani Tank
Srikakulam,Hiramandalam,A.S. Peta,Pedda Tank
Srikakulam,Hiramandalam,A.S. Peta,Puridinaidu Tank
Srikakulam,Hiramandalam,A.S. Peta,Amdala Tank
Srikakulam,Hiramandalam,A.S. Peta,Marri Tank
Srikakulam,Hiramandalam,A.S. Peta,Voora Tank
Srikakulam,Hiramandalam,A.S. Peta,Voora Tank
Srikakulam,Hiramandalam,A.S. Peta,Sagaram
Srikakulam,Hiramandalam,A.S. Peta,Dhamannavari Tank
Srikakulam,Hiramandalam,A.vemavaram,Gundam Tank
Srikakulam,Hiramandalam,A.Vemavarappadu,Kotha Tank
