District Code,District Name,Mandal Code,Mandal Name
510,Krishna,4998,A.Konduru
523,West Godavari,4981,Achanta
517,Prakasam,5112,Addanki
505,East Godavari,4887,Addateegala
511,Kurnool,5271,Adoni
502,Anantapur,5354,Agali
510,Krishna,5005,Agiripalle
505,East Godavari,4933,Ainavilli
523,West Godavari,4975,Akividu
505,East Godavari,4925,Alamuru
511,Kurnool,5298,Allagadda
505,East Godavari,4940,Allavaram
515,SPSR Nellore,5167,Allur
511,Kurnool,5274,Alur
502,Anantapur,5361,Amadagur
519,Srikakulam,4798,Amadalavalasa
505,East Godavari,4941,Amalapuram
502,Anantapur,5351,Amarapuram
506,Guntur,5052,Amaravathi
505,East Godavari,4935,Ambajipeta
506,Guntur,5086,Amruthalur
520,Visakhapatanam,4871,Anakapalle
520,Visakhapatanam,4863,Anandapuram
502,Anantapur,5330,Anantapur
520,Visakhapatanam,4845,Ananthagiri
515,SPSR Nellore,5173,Ananthasagaram
505,East Godavari,4917,Anaparthy
515,SPSR Nellore,5165,Anumasamudrampeta
520,Visakhapatanam,4844,Araku Valley
517,Prakasam,5116,Ardhaveedu
511,Kurnool,5275,Aspari
506,Guntur,5050,Atchampet
520,Visakhapatanam,4878,Atchutapuram
504,Y.S.R.,5227,Atlur
502,Anantapur,5322,Atmakur
511,Kurnool,5265,Atmakur
515,SPSR Nellore,5164,Atmakur
505,East Godavari,4919,Atreyapuram
523,West Godavari,4973,Attili
510,Krishna,5037,Avanigadda
504,Y.S.R.,5209,B.Kodur
503,Chittoor,5391,B.Kothakota
521,Vizianagaram,4820,Badangi
504,Y.S.R.,5210,Badvel
503,Chittoor,5423,Baireddipalle
515,SPSR Nellore,5188,Balayapalle
521,Vizianagaram,4815,Balijipeta
517,Prakasam,5105,Ballikurava
511,Kurnool,5288,Banaganapalle
511,Kurnool,5283,Bandi Atmakur
503,Chittoor,5429,Bangarupalem
510,Krishna,5019,Bantumilli
506,Guntur,5093,Bapatla
510,Krishna,5004,Bapulapadu
502,Anantapur,5337,Bathalapalle
506,Guntur,5049,Bellamkonda
502,Anantapur,5318,Beluguppa
517,Prakasam,5131,Bestawaripeta
511,Kurnool,5279,Bethamcherla
519,Srikakulam,4771,Bhamini
506,Guntur,5089,Bhattiprolu
520,Visakhapatanam,4865,Bheemunipatnam
523,West Godavari,4963,Bhimadole
523,West Godavari,4984,Bhimavaram
521,Vizianagaram,4840,Bhogapuram
505,East Godavari,4916,Biccavolu
521,Vizianagaram,4816,Bobbili
515,SPSR Nellore,5159,Bogole
506,Guntur,5061,Bollapalle
502,Anantapur,5307,Bommanahal
521,Vizianagaram,4829,Bondapalle
504,Y.S.R.,5205,Brahmamgarimattam
502,Anantapur,5320,Brahmasamudram
503,Chittoor,5380,Buchinaidu Kandriga
515,SPSR Nellore,5170,Buchireddipalem
502,Anantapur,5345,Bukkapatnam
502,Anantapur,5329,Bukkaraya Samudram
519,Srikakulam,4794,Burja
520,Visakhapatanam,4873,Butchayyapeta
523,West Godavari,4948,Buttayagudem
511,Kurnool,5256,C.Belagal
511,Kurnool,5303,Chagalamarri
523,West Godavari,4959,Chagallu
504,Y.S.R.,5234,Chakrayapet
510,Krishna,5035,Challapalle
510,Krishna,5008,Chandarlapadu
517,Prakasam,5145,Chandra Sekhara Puram
503,Chittoor,5384,Chandragiri
504,Y.S.R.,5213,Chapad
510,Krishna,5001,Chatrai
506,Guntur,5079,Chebrolu
520,Visakhapatanam,4858,Cheedikada
521,Vizianagaram,4827,Cheepurupalle
515,SPSR Nellore,5172,Chejerla
502,Anantapur,5347,Chennekothapalle
504,Y.S.R.,5226,Chennur
506,Guntur,5090,Cherukupalle H/O Arumbaka
506,Guntur,5070,Chilakaluripet  H/O.Purushotha Patnam
502,Anantapur,5366,Chilamathur
515,SPSR Nellore,5190,Chillakur
517,Prakasam,5128,Chimakurthi
517,Prakasam,5125,Chinaganjam
503,Chittoor,5385,Chinnagottigallu
504,Y.S.R.,5236,Chinnamandem
523,West Godavari,4944,Chintalapudi
520,Visakhapatanam,4849,Chintapalle
504,Y.S.R.,5231,Chinthakommadinne
505,East Godavari,4732,Chintur
511,Kurnool,5291,Chippagiri
517,Prakasam,5123,Chirala
515,SPSR Nellore,5193,Chittamur
503,Chittoor,5421,Chittoor
504,Y.S.R.,5245,Chitvel
520,Visakhapatanam,4872,Chodavaram
503,Chittoor,5413,Chowdepalle
517,Prakasam,5117,Cumbum
502,Anantapur,5304,D.Hirehal
506,Guntur,5045,Dachepalle
515,SPSR Nellore,5166,Dagadarthi
515,SPSR Nellore,5186,Dakkili
517,Prakasam,5114,Darsi
521,Vizianagaram,4823,Dattirajeru
523,West Godavari,4967,Denduluru
521,Vizianagaram,4839,Denkada
511,Kurnool,5276,Devanakonda
520,Visakhapatanam,4859,Devarapalle
523,West Godavari,4957,Devarapalle
505,East Godavari,4885,Devipatnam
502,Anantapur,5336,Dharmavaram
511,Kurnool,5289,Dhone
517,Prakasam,5102,Donakonda
515,SPSR Nellore,5196,Doravarisatram
517,Prakasam,5100,Dornala
511,Kurnool,5299,Dornipadu
506,Guntur,5076,Duggirala
520,Visakhapatanam,4843,Dumbriguda
506,Guntur,5042,Durgi
515,SPSR Nellore,5162,Duttalur
504,Y.S.R.,5203,Duvvur
523,West Godavari,4955,Dwarakatirumala
506,Guntur,5071,Edlapadu
523,West Godavari,4966,Eluru
519,Srikakulam,4806,Etcherla
510,Krishna,5006,G.Konduru
520,Visakhapatanam,4848,G.Madugula
511,Kurnool,5281,Gadivemula
521,Vizianagaram,4825,Gajapathinagaram
504,Y.S.R.,5235,Galiveedu
510,Krishna,4996,Gampalagudem
523,West Godavari,4974,Ganapavaram
505,East Godavari,4904,Gandepalle
502,Anantapur,5342,Gandlapenta
503,Chittoor,5420,Gangadhara Nellore
503,Chittoor,5417,Gangavaram
505,East Godavari,4894,Gangavaram
519,Srikakulam,4797,Ganguvarisigadam
510,Krishna,5012,Gannavaram
521,Vizianagaram,4830,Gantyada
519,Srikakulam,4801,Gara
521,Vizianagaram,4826,Garividi
502,Anantapur,5324,Garladinne
521,Vizianagaram,4811,Garugubilli
510,Krishna,5033,Ghantasala
517,Prakasam,5133,Giddalur
505,East Godavari,4897,Gokavaram
505,East Godavari,4902,Gollaprolu
520,Visakhapatanam,4853,Golugonda
511,Kurnool,5270,Gonegandla
502,Anantapur,5310,Gooty
523,West Godavari,4951,Gopalapuram
504,Y.S.R.,5211,Gopavaram
502,Anantapur,5362,Gorantla
511,Kurnool,5287,Gospadu
520,Visakhapatanam,4850,Gudem Kotha Veedhi
502,Anantapur,5352,Gudibanda
503,Chittoor,5431,Gudipala
510,Krishna,5021,Gudivada
510,Krishna,5029,Gudlavalleru
517,Prakasam,5151,Gudluru
503,Chittoor,5426,Gudupalle
511,Kurnool,5257,Gudur
515,SPSR Nellore,5184,Gudur
510,Krishna,5031,Guduru
502,Anantapur,5319,Gummagatta
521,Vizianagaram,4808,Gummalakshmipuram
502,Anantapur,5309,Guntakal
506,Guntur,5074,Guntur
506,Guntur,5044,Gurazala
521,Vizianagaram,4828,Gurla
503,Chittoor,5370,Gurramkonda
511,Kurnool,5273,Halaharvi
517,Prakasam,5130,Hanumanthuni Padu
502,Anantapur,5364,Hindupur
519,Srikakulam,4783,Hiramandalam
511,Kurnool,5272,Holagunda
520,Visakhapatanam,4846,Hukumpeta
505,East Godavari,4931,I. Polavaram
510,Krishna,5009,Ibrahimpatnam
519,Srikakulam,4778,Ichchapuram
515,SPSR Nellore,5179,Indukurpet
517,Prakasam,5110,Inkollu
506,Guntur,5065,Ipur
523,West Godavari,4979,Iragavaram
503,Chittoor,5411,Irala
505,East Godavari,4898,Jaggampeta
510,Krishna,4991,Jaggayyapeta
515,SPSR Nellore,5157,Jaladanki
519,Srikakulam,4792,Jalumuru
521,Vizianagaram,4835,Jami
504,Y.S.R.,5215,Jammalamadugu
517,Prakasam,5111,Janakavarampanguluru
523,West Godavari,4953,Jangareddigudem
523,West Godavari,4947,Jeelugu Milli
521,Vizianagaram,4810,Jiyyammavalasa
511,Kurnool,5262,Jupadu Bungalow
505,East Godavari,4929,K Gangavaram
520,Visakhapatanam,4860,K.Kotapadu
503,Chittoor,5382,K.V.B.Puram
505,East Godavari,4918,Kadiam
502,Anantapur,5343,Kadiri
510,Krishna,5016,Kaikalur
505,East Godavari,4923,Kajuluru
505,East Godavari,4913,Kakinada (Rural)
506,Guntur,5083,Kakumanu
503,Chittoor,5371,Kalakada
504,Y.S.R.,5207,Kalasapadu
510,Krishna,5017,Kalidindi
515,SPSR Nellore,5160,Kaligiri
503,Chittoor,5387,Kalikiri
523,West Godavari,4985,Kalla
511,Kurnool,5258,Kallur
515,SPSR Nellore,5174,Kaluvoya
502,Anantapur,5321,Kalyandurg
504,Y.S.R.,5224,Kamalapuram
523,West Godavari,4954,Kamavarapukota
502,Anantapur,5334,Kambadur
503,Chittoor,5372,Kambhamvaripalle
502,Anantapur,5335,Kanaganapalle
510,Krishna,5007,Kanchikacherla
519,Srikakulam,4777,Kanchili
517,Prakasam,5148,Kandukur
502,Anantapur,5306,Kanekal
517,Prakasam,5136,Kanigiri
510,Krishna,5023,Kankipadu
505,East Godavari,4928,Kapileswarapuram
517,Prakasam,5109,Karamchedu
505,East Godavari,4922,Karapa
506,Guntur,5046,Karempudi
506,Guntur,5092,Karlapalem
503,Chittoor,5408,Karvetinagar
520,Visakhapatanam,4876,Kasimkota
505,East Godavari,4943,Katrenikona
515,SPSR Nellore,5158,Kavali
519,Srikakulam,4779,Kaviti
504,Y.S.R.,5212,Khajipet
505,East Godavari,4899,Kirlampudi
515,SPSR Nellore,5169,Kodavalur
511,Kurnool,5269,Kodumur
504,Y.S.R.,5249,Kodur
510,Krishna,5039,Koduru
511,Kurnool,5296,Koilkuntla
511,Kurnool,5301,Kolimigundla
506,Guntur,5077,Kollipara
506,Guntur,5088,Kollur
521,Vizianagaram,4807,Komarada
517,Prakasam,5134,Komarolu
517,Prakasam,5119,Konakanamitla
517,Prakasam,5137,Kondapi
515,SPSR Nellore,5156,Kondapuram
504,Y.S.R.,5199,Kondapuram
517,Prakasam,5122,Korisapadu
