District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
510,Krishna,4998,A.Konduru,202896,Kambhampadu
503,Chittoor,5416,Peddapanjani,0,888888888
511,Kurnool,5260,Nandikotkur,204453,10. Bollavaram
503,Chittoor,5395,Pulicherla,197511,102.E.Ramireddygaripalle
503,Chittoor,5395,Pulicherla,197525,106.Ramireddigaripalle
506,Guntur,5072,Phirangipuram,200575,113 Tyllur
503,Chittoor,5430,Yadamarri,198065,12.Kammapalle
503,Chittoor,5425,Santhipuram,197697,121.Pedduru
503,Chittoor,5430,Yadamarri,198066,14.Kandriga Muslimwada
503,Chittoor,5430,Yadamarri,198067,155 Kammapalle
503,Chittoor,5430,Yadamarri,198068,184.Gollapalle
503,Chittoor,5431,Gudipala,197004,197 Ramapuram
503,Chittoor,5413,Chowdepalle,196936,29 A.Chintamakulapalle
503,Chittoor,5425,Santhipuram,197679,30 Sonneganipalle
503,Chittoor,5429,Bangarupalem,196799,45.Gollapalli
503,Chittoor,5411,Irala,197077,45.Kothapalle
511,Kurnool,5267,Midthur,204418,49 Bannur
503,Chittoor,5425,Santhipuram,197680,64 Pedduru
502,Anantapur,5319,Gummagatta,196076,75.Veerapuram
506,Guntur,5057,Pedakurapadu,200540,75-Tyallur
503,Chittoor,5394,Sodam,197733,79.Chintamakulapalle
511,Kurnool,5262,Jupadu Bungalow,204206,80 Bannur
503,Chittoor,5412,Somala,197758,81.Upparapalle
502,Anantapur,5327,Yellanur,196746,85 Nittor
506,Guntur,5051,Krosuru,200324,88 Tyalluru
503,Chittoor,5428,Ramakuppam,197625,89.Peddur
523,West Godavari,4981,Achanta,214262,A Vemavaram
511,Kurnool,5283,Bandi Atmakur,203978,A. Kodur
503,Chittoor,5413,Chowdepalle,196937,A. Kothakota
519,Srikakulam,4806,Etcherla,210685,A.A.Valasa
515,SPSR Nellore,5159,Bogole,208350,A.B. Kandrika
517,Prakasam,5108,Parchur,234816,A.B.V.Palem
520,Visakhapatanam,4850,Gudem Kotha Veedhi,211981,A.Darakonda
505,East Godavari,4732,Chintur,202265,A.G.Koderu
511,Kurnool,5258,Kallur,204218,A.Gokulapadu
503,Chittoor,5384,Chandragiri,196863,A.Gurrappagari Palle
523,West Godavari,4975,Akividu,214274,A.I.Bheemavaram
