district_name,mandal_name,panchayath_code,panchayath_name
Krishna,1,202896,Kambhampadu
Krishna,1,202890,A.Konduru
Krishna,1,202893,Repudi
Krishna,1,202900,Madhavaram
Krishna,1,202898,Krishnaraopalem
Krishna,1,202903,Ramachandrapuram
Krishna,1,202899,Kummarikuntla
Krishna,1,202891,Cheemalapadu
Krishna,1,202895,Jeelakunta
Krishna,1,202901,Marepalli
Krishna,1,202904,Repudi Thanda
Krishna,1,202897,Koduru
Krishna,1,202894,Gopalapuram
Krishna,1,202902,Polisettipadu
Krishna,1,202905,Vallampatla
Krishna,1,202892,Gollamandala
West Godavari,2,214266,Kandharavalli
West Godavari,2,214270,Pedamallam
West Godavari,2,214268,Kodamanchali
West Godavari,2,214271,Penumanchali
West Godavari,2,214269,Koderu
West Godavari,2,214263,Achanta
West Godavari,2,214262,A Vemavaram
West Godavari,2,214272,Seshamma Cheruvu
West Godavari,2,214264,Ayodyalanka
West Godavari,2,214273,Valluru
West Godavari,2,214265,Bimalapuram
West Godavari,2,214267,Karugoramilli
Prakasam,3,234582,Perayapalem
Prakasam,3,234574,Singarakondapalem
Prakasam,3,234583,Dhenuvakonda
Prakasam,3,234571,Dharmavaram
Prakasam,3,234590,Nagulapadu
Prakasam,3,234569,Chinakothapalli
Prakasam,3,234568,Chakrayapalem
Prakasam,3,234588,Manikeswaram
Prakasam,3,234573,Kalavakuru
Prakasam,3,234576,Ramayapalem
Prakasam,3,234586,Kongapadu
Prakasam,3,234585,Vippalavaripalem
Prakasam,3,234577,Timmayapalem
Prakasam,3,234570,Gowada
Prakasam,3,234581,Modepalli
Prakasam,3,234589,Jarlapalem
Prakasam,3,234567,Vemparala
Prakasam,3,234572,Sankavarappadu
Prakasam,3,234579,Kotikalapudi
Prakasam,3,234580,Kunkupadu
Prakasam,3,234587,Velamuripadu
Prakasam,3,234578,Gopalapuram
Prakasam,3,234575,Bommanampadu
Prakasam,3,234565,Mylavaram
Prakasam,3,234566,Uppalapadu
Prakasam,3,234584,Venkatapuram
East Godavari,4,198956,Vetamamidi
East Godavari,4,198943,Doramamidi
East Godavari,4,198942,Dhanyampalem
East Godavari,4,198947,Kimmuru
East Godavari,4,198944,Ducherthi
East Godavari,4,198951,Rayapalli
East Godavari,4,198953,Thimmapuram
East Godavari,4,198957,Yellavaram
East Godavari,4,198952,Somannapalem
East Godavari,4,198941,Dakodu
East Godavari,4,198955,Veeravaram
East Godavari,4,198939,D.Bheemavaram
East Godavari,4,198940,D.Ramavaram
East Godavari,4,198948,Konalova
East Godavari,4,198950,Puligogulapadu
East Godavari,4,198945,Gondolu
East Godavari,4,198938,Bodlanka
East Godavari,4,198936,Addateegala
East Godavari,4,198949,Matlapadu
East Godavari,4,198946,Gontuvanipalem
East Godavari,4,198954,Thungamadugula
East Godavari,4,198937,Bheemudupakalu
Kurnool,5,203864,Bychigeri
Kurnool,5,203862,Basapuram
Kurnool,5,203859,Arekal
Kurnool,5,203895,Virupapuram
Kurnool,5,203887,Pedda Harivanam
Kurnool,5,203863,Basarakodu
Kurnool,5,203894,Santhakudlur
Kurnool,5,203893,Sambagallu
Kurnool,5,203892,Salakalakonda
Kurnool,5,203878,Kuppagal
Kurnool,5,203869,Doddanakeri
Kurnool,5,203889,Pedda Thumbalam
Kurnool,5,203886,Pandavagallu
Kurnool,5,203872,Gonabavi
Kurnool,5,203884,Naranapuram
Kurnool,5,203891,Sadapuram
Kurnool,5,203888,Pedda Pendekal
Kurnool,5,203880,Mandageri
Kurnool,5,203865,Chinna Harivanam
Kurnool,5,203875,Jalibenchi
Kurnool,5,203871,Ganekal
Kurnool,5,203868,Dibbanakal
Kurnool,5,203883,Naganathana Halli
Kurnool,5,203881,Mantriki
Kurnool,5,203876,Kadithota
Kurnool,5,203885,Nettekal
Kurnool,5,203861,Billekallu
Kurnool,5,203867,Dhanapuram
Kurnool,5,203870,G.Hosalli
Kurnool,5,203879,Madire
Kurnool,5,203890,Pesalabanda
Kurnool,5,203860,Baladur
Kurnool,5,203873,Hanavalu
Kurnool,5,203866,Chinnapendekal
Kurnool,5,203882,Nagalapuram
Kurnool,5,203874,Isvi
Kurnool,5,203877,Kapati
1,6,195778,Kodihalli
1,6,195782,Ragelinganahalli
1,6,195781,P.Byadigera
1,6,195783,Ravudi
1,6,257938,Halikera
1,6,195780,Narasambudi
1,6,195777,Ingalore
1,6,195775,Agali
1,6,195779,Madhudi
1,6,195776,Hullekeradevarahalli
1,6,257948,Irigepally
Krishna,7,202929,Vadlamanu
Krishna,7,202908,Ammavarigudem
Krishna,7,202926,Sitharampuram
Krishna,7,202930,Vattigudipadu
Krishna,7,202913,Edulagudem
Krishna,7,202911,Chopparametla
Krishna,7,202920,Narasingapalem
Krishna,7,202909,Boddanapalli
Krishna,7,202928,Thotapalli
Krishna,7,202921,Nugondapalli
Krishna,7,202924,S.A.Peta
Krishna,7,202907,Agiripalli
Krishna,7,202910,Chinnagiripalli
Krishna,7,202927,Suravaram
Krishna,7,202923,Pothavarappadu
Krishna,7,202906,Adavinekkalam
Krishna,7,202922,Pinnamareddipalli
Krishna,7,202925,Sagguru
Krishna,7,202912,Edara
Krishna,7,202915,Kalaturu
Krishna,7,202916,Kanasanapalli
Krishna,7,202917,Kommuru
Krishna,7,202914,Gollagudem
Krishna,7,202918,Kotha Edara
Krishna,7,202919,Krishnavaram
East Godavari,8,198967,Nedunuru
East Godavari,8,198973,Sankaraigudem
East Godavari,8,198976,Veeravallipalem
East Godavari,8,198968,Pedapalem
East Godavari,8,198964,Madupalle
East Godavari,8,198963,Krapa
East Godavari,8,198978,Vilasa
East Godavari,8,198959,Ainavillilanka
East Godavari,8,198969,Pothukurru
East Godavari,8,198970,Pottilanka
East Godavari,8,198961,K.J.Puram
East Godavari,8,198958,Ainavilli
East Godavari,8,198966,Nallacheruvu
East Godavari,8,198960,Chintana Lanka
East Godavari,8,198971,S.Mulapalem
East Godavari,8,198977,Veluvalapalle
East Godavari,8,198975,Totharamudi
East Godavari,8,198965,Magam
East Godavari,8,198974,Siripalle
East Godavari,8,198962,Kondukuduru
East Godavari,8,198972,Sanapalli Lanka
West Godavari,9,214285,Mandapadu
West Godavari,9,214289,Taratavau
West Godavari,9,214282,Gummuluru
West Godavari,9,214283,Kollaparru
West Godavari,9,214278,Cherukumilli
West Godavari,9,214279,Chinakapavaram
West Godavari,9,214276,Akiveedu
West Godavari,9,214275,Ajjamuru
West Godavari,9,214277,Apparaopeta
West Godavari,9,214274,A.I.Bheemavaram
West Godavari,9,214281,Dumpagadapa
West Godavari,9,214287,Rajulapet
West Godavari,9,214288,Siddapuram
West Godavari,9,214280,Chinamillipadu
West Godavari,9,214286,Pedakapavaram
West Godavari,9,214284,Kuppanapudi
East Godavari,10,198996,Suryarao Peta
East Godavari,10,198986,Kalavacherla
East Godavari,10,198994,Pinapalle
East Godavari,10,198993,Penikeru
East Godavari,10,198991,Navabupeta
East Godavari,10,198983,Choppela
East Godavari,10,198992,Pedapalle
East Godavari,10,198982,Chintaluru
East Godavari,10,198988,Modukuru
East Godavari,10,198980,Baduguvanilanka
East Godavari,10,198990,Narsipuddi
East Godavari,10,198981,Chemudulanka
East Godavari,10,198987,Madiki
East Godavari,10,198985,Jonnada
East Godavari,10,198979,Alamuru
East Godavari,10,198989,Mulastanam
East Godavari,10,198984,Gummileru
East Godavari,10,198995,Sandhipudi
Kurnool,11,203906,Nallagatla
Kurnool,11,203904,Marripalle
Kurnool,11,203898,Bathalur
Kurnool,11,203900,G.Jambuladinne
Kurnool,11,203907,Obulampalle
Kurnool,11,203905,Mittapalle
Kurnool,11,203912,Yadawada
Kurnool,11,203901,Gopalapuram
Kurnool,11,203909,Peraipalli
Kurnool,11,203902,Gubagundam
Kurnool,11,203908,Patha Kandukur
Kurnool,11,203911,S.Lingamdinne
Kurnool,11,203896,Ahobilam
Kurnool,11,203899,Chinta Kommadinne
Kurnool,11,203897,Bachepalle
Kurnool,11,203910,R.Krishnapuram
Kurnool,11,203903,Kotha Kandukur
East Godavari,12,199003,Godilanka
East Godavari,12,199008,Komaragiripatnam
East Godavari,12,198998,Bendamurlanka
East Godavari,12,199005,Gudala
East Godavari,12,198999,Bodasakurru
East Godavari,12,199016,Vodalarevu
East Godavari,12,199007,Kodurupadu
East Godavari,12,199010,Pallipalem
East Godavari,12,199000,Devaguptam
East Godavari,12,199011,Rellugadda
East Godavari,12,199014,Thummalapalle
East Godavari,12,199002,Godi
East Godavari,12,199015,Thurpulanka
East Godavari,12,199001,Devaguptamravulapalem
