District Code,District Name,Mandal Code,Mandal Name,Village Code,Village Name
502,Anantapur,5338,Tadimarri,595183,(Shro) Thirumalapuram
506,Guntur,5072,Phirangipuram,590214,113 Thalluru
503,Chittoor,5413,Chowdepalle,596519,29 -A. Chinta -Makulapalle
506,Guntur,5057,Pedakurapadu,590010,75-Tyallur
506,Guntur,5057,Pedakurapadu,590010,75-Tyallur
505,East Godavari,4901,Thondangi,587324,A. Kothapalle
505,East Godavari,4901,Thondangi,587324,A. Kothapalle
505,East Godavari,4891,Rowthulapudi,587007,A. Mallavaram
505,East Godavari,4941,Amalapuram,587877,A. Vemavaram
505,East Godavari,4941,Amalapuram,912647,A. Vemavarappadu
523,West Godavari,4962,Unguturu,588338,A.Gokavaram
523,West Godavari,4962,Unguturu,588338,A.Gokavaram
511,Kurnool,5258,Kallur,593886,A.Gokulapadu
511,Kurnool,5258,Kallur,593886,A.Gokulapadu
523,West Godavari,4975,Akividu,588600,A.I.Bheemavaram
523,West Godavari,4975,Akividu,588600,A.I.Bheemavaram
510,Krishna,4998,A.Konduru,588988,A.Konduru
503,Chittoor,5413,Chowdepalle,596522,A.Kothakota
504,Y.S.R.,5209,B.Kodur,593041,A.Kothapalle
505,East Godavari,4901,Thondangi,587328,A.V.Nagaram
505,East Godavari,4901,Thondangi,587328,A.V.Nagaram
517,Prakasam,5140,Kotha Patnam,912408,Aaluru
506,Guntur,5087,Vemuru,590410,Abbanagudavalli
506,Guntur,5053,Thullur,589963,Abbarajupalem
517,Prakasam,5114,Darsi,590808,Abbaya Palem
502,Anantapur,5310,Gooty,594753,Abbedoddi
506,Guntur,5058,Sattenapalle,590029,Abburu
511,Kurnool,5282,Velgode,594281,Abdullapuram
503,Chittoor,5396,Pakala,596202,Achamma Agraharam
523,West Godavari,4981,Achanta,588688,Achanta
523,West Godavari,4981,Achanta,588688,Achanta
523,West Godavari,4981,Achanta,588695,Achanta Vemavaram
515,SPSR Nellore,5189,Ojili,592451,Acharlaparlapalle
510,Krishna,5016,Kaikalur,589336,Achavaram
502,Anantapur,5356,Penukonda,595434,Adadakulapalle
519,Srikakulam,4804,Laveru,581599,Adapaka
519,Srikakulam,4804,Laveru,581599,Adapaka
504,Y.S.R.,5243,Nandalur,593580,Adapur
503,Chittoor,5382,K.V.B.Puram,595975,Adaram
503,Chittoor,5382,K.V.B.Puram,595975,Adaram
521,Vizianagaram,4818,Pachipenta,582471,Adaripadu
503,Chittoor,5382,K.V.B.Puram,595986,Adavaram
519,Srikakulam,4786,Regidi Amadalavalasa,580833,Adavaram
503,Chittoor,5427,Kuppam,596972,Adavi Budugur
503,Chittoor,5427,Kuppam,596972,Adavi Budugur
523,West Godavari,4968,Nidamarru,588481,Adavikolanu
503,Chittoor,5406,Nagari,596383,Adavikothuru
506,Guntur,5094,Nizampatnam,590483,Adavuladeevi
506,Guntur,5094,Nizampatnam,590483,Adavuladeevi
506,Guntur,5094,Nizampatnam,590483,Adavuladeevi
510,Krishna,5028,Pamarru,589575,Addada
519,Srikakulam,4770,Seethampeta,580041,Addakulaguda
504,Y.S.R.,5234,Chakrayapet,593463,Addalamarri
520,Visakhapatanam,4876,Kasimkota,586322,Addam
517,Prakasam,5112,Addanki,590769,Addanki (North) (U)
517,Prakasam,5112,Addanki,590769,Addanki (North) (U)
517,Prakasam,5112,Addanki,590777,Addanki (South) (U)
517,Prakasam,5112,Addanki,590777,Addanki (South) (U)
517,Prakasam,5112,Addanki,590777,Addanki (South) (U)
517,Prakasam,5112,Addanki,590777,Addanki (South) (U)
517,Prakasam,5112,Addanki,590777,Addanki (South) (U)
505,East Godavari,4928,Kapileswarapuram,912445,Addankivari Lanka
521,Vizianagaram,4812,Parvathipuram,582146,Addapuseela
520,Visakhapatanam,4855,Rolugunta,585818,Addasaram
515,SPSR Nellore,5190,Chillakur,592508,Addepalle
515,SPSR Nellore,5193,Chittamur,592582,Addepudi
520,Visakhapatanam,4846,Hukumpeta,584533,Addumanda
520,Visakhapatanam,4872,Chodavaram,586209,Adduru
521,Vizianagaram,4812,Parvathipuram,582142,Adduruvalasa
503,Chittoor,5396,Pakala,596199,Adenapalle
503,Chittoor,5396,Pakala,596199,Adenapalle
503,Chittoor,5396,Pakala,596199,Adenapalle
515,SPSR Nellore,5185,Sydapuram,592258,Adhvanna Punarayanakattubadi
506,Guntur,5042,Durgi,589827,Adigoppula
503,Chittoor,5431,Gudipala,597068,Adilakshmamba Puram
519,Srikakulam,4773,Pathapatnam,580131,Adinarayanapeta
506,Guntur,5093,Bapatla,590476,Adivi
506,Guntur,5093,Bapatla,590476,Adivi
510,Krishna,5005,Agiripalle,589117,Adivinekkalam
510,Krishna,5005,Agiripalle,589117,Adivinekkalam
510,Krishna,4993,Nandigama,588876,Adiviravulapadu
520,Visakhapatanam,4842,Peda Bayalu,583631,Adugulaputtu
505,East Godavari,4936,Mamidikuduru,587824,Adurru
515,SPSR Nellore,5175,Rapur,592018,Adurupalle
517,Prakasam,5108,Parchur,590717,Adusumalle
520,Visakhapatanam,4858,Cheedikada,585946,Advi Agraharam
523,West Godavari,4963,Bhimadole,588362,Agadallanka
523,West Godavari,4963,Bhimadole,588362,Agadallanka
523,West Godavari,4963,Bhimadole,588362,Agadallanka
504,Y.S.R.,5221,Thondur,593243,Agadur
502,Anantapur,5354,Agali,595406,Agali
502,Anantapur,5354,Agali,595406,Agali
503,Chittoor,5384,Chandragiri,596032,Agarala
503,Chittoor,5426,Gudupalle,596876,Agaram
503,Chittoor,5406,Nagari,596387,Agaram
503,Chittoor,5404,Nindra,596363,Agaram
503,Chittoor,5420,Gangadhara Nellore,596670,Agaramangalam
523,West Godavari,4988,Palacole,588784,Agarru
523,West Godavari,4988,Palacole,588784,Agarru
511,Kurnool,5251,Kosigi,593750,Agasanur
506,Guntur,5075,Pedakakani,590253,Agatha Varappadu
511,Kurnool,5277,Krishnagiri,594204,Agaveli
520,Visakhapatanam,4853,Golugonda,585756,Agency Laxmipuram
