mandal_name,village_code,village_name
569,595183,(Shro) Thirumalapuram
455,590214,113 Thalluru
115,596519,29 -A. Chinta -Makulapalle
428,590010,75-Tyallur
428,590010,75-Tyallur
584,587324,A. Kothapalle
584,587324,A. Kothapalle
520,587007,A. Mallavaram
17,587877,A. Vemavaram
17,912647,A. Vemavarappadu
602,588338,A.Gokavaram
602,588338,A.Gokavaram
231,593886,A.Gokulapadu
231,593886,A.Gokulapadu
9,588600,A.I.Bheemavaram
9,588600,A.I.Bheemavaram
1,588988,A.Konduru
115,596522,A.Kothakota
41,593041,A.Kothapalle
584,587328,A.V.Nagaram
584,587328,A.V.Nagaram
278,912408,Aaluru
631,590410,Abbanagudavalli
589,589963,Abbarajupalem
121,590808,Abbaya Palem
169,594753,Abbedoddi
539,590029,Abburu
627,594281,Abdullapuram
403,596202,Achamma Agraharam
2,588688,Achanta
2,588688,Achanta
2,588695,Achanta Vemavaram
394,592451,Acharlaparlapalle
221,589336,Achavaram
451,595434,Adadakulapalle
305,581599,Adapaka
305,581599,Adapaka
367,593580,Adapur
218,595975,Adaram
218,595975,Adaram
399,582471,Adaripadu
218,595986,Adavaram
511,580833,Adavaram
297,596972,Adavi Budugur
297,596972,Adavi Budugur
386,588481,Adavikolanu
358,596383,Adavikothuru
389,590483,Adavuladeevi
389,590483,Adavuladeevi
389,590483,Adavuladeevi
410,589575,Addada
542,580041,Addakulaguda
84,593463,Addalamarri
251,586322,Addam
3,590769,Addanki (North) (U)
3,590769,Addanki (North) (U)
3,590777,Addanki (South) (U)
3,590777,Addanki (South) (U)
3,590777,Addanki (South) (U)
3,590777,Addanki (South) (U)
3,590777,Addanki (South) (U)
245,912445,Addankivari Lanka
419,582146,Addapuseela
517,585818,Addasaram
100,592508,Addepalle
111,592582,Addepudi
196,584533,Addumanda
114,586209,Adduru
419,582142,Adduruvalasa
403,596199,Adenapalle
403,596199,Adenapalle
403,596199,Adenapalle
562,592258,Adhvanna Punarayanakattubadi
137,589827,Adigoppula
176,597068,Adilakshmamba Puram
420,580131,Adinarayanapeta
53,590476,Adivi
53,590476,Adivi
7,589117,Adivinekkalam
7,589117,Adivinekkalam
370,588876,Adiviravulapadu
425,583631,Adugulaputtu
322,587824,Adurru
503,592018,Adurupalle
417,590717,Adusumalle
92,585946,Advi Agraharam
63,588362,Agadallanka
63,588362,Agadallanka
63,588362,Agadallanka
585,593243,Agadur
6,595406,Agali
6,595406,Agali
88,596032,Agarala
180,596876,Agaram
358,596387,Agaram
388,596363,Agaram
153,596670,Agaramangalam
405,588784,Agarru
405,588784,Agarru
273,593750,Agasanur
427,590253,Agatha Varappadu
290,594204,Agaveli
167,585756,Agency Laxmipuram
618,596220,Aggichenupalle
412,589547,Aginiparru
7,589111,Agiripalle
7,589111,Agiripalle
7,589111,Agiripalle
202,590127,Agnigundala
202,590127,Agnigundala
150,588585,Agraharagopavaram
76,595280,Agraharam
387,596158,Agraharam
387,596158,Agraharam
458,596062,Agraharam
459,587467,Agraharam (R)
336,582727,Aguru
108,579167,Ahmmadalipeta
78,581243,Ahobalacharyula Peta
11,594549,Ahobilam
410,589578,Ainampudi
346,587762,Ainapuram
8,587767,Ainavilli
8,587767,Ainavilli
589,589968,Ainavolu
157,589249,Ajjampudi
9,588597,Ajjamuru
143,581713,Ajjaram
454,588533,Ajjaram
399,582440,Ajuru
479,596469,Akanambattu
532,581028,Akasalakkavaram
483,591167,Akaveedu
28,591842,Akbarabad
486,593660,Akepadu
503,592013,Akilavalasa
462,590977,Akka Cheruvu
384,592092,Akkacheruvupadu
6,595401,Akkagaladevarahalli
469,593004,Akkalreddipalle
121,590835,Akkamamba Puram
563,593520,Akkampalle
212,588175,Akkampeta
328,592191,Akkampeta
565,592779,Akkampeta
511,580863,Akkanna Agraharam
592,588965,Akkapalem
132,592696,Akkarapaka
533,581282,Akkarapalle
578,580975,Akkavaram
275,581068,Akkayyavalasa
123,588452,Akkireddigudem
351,589036,Akkireddigudem
16,581410,Akkivaram
124,583228,Akkivaram
16,581399,Akkulapeta
608,580539,Akkupalle
183,589657,Akulamannadu
183,589657,Akulamannadu
369,580673,Akularaghunadha Puram
284,580127,Akulatampara
549,595011,Akuledu
530,594565,Akumalla
183,589670,Akumarru
647,589561,Akunuru
310,589885,Akurajupalle
310,589885,Akurajupalle
310,589885,Akurajupalle
448,588499,Akuteegapadu
348,583299,Alabeeru
638,591894,Alaganipadu
338,594017,Alaganur
67,582352,Alajangi
466,581570,Alamajipeta
126,585989,Alamanda
209,583102,Alamanda
217,585998,Alamanda Bheemavaram
217,585999,Alamandakoduru
126,585979,Alamandakothapalle
290,594214,Alamkonda
448,588503,Alampuram
415,594257,Alamur
415,594257,Alamur
521,594529,Alamur
521,594529,Alamur
10,587665,Alamuru
24,595088,Alamuru
24,595088,Alamuru
452,588645,Alamuru
594,590385,Alapadu
639,596369,Alapakam
45,596743,Alapalle
74,595916,Alathur
74,595916,Alathur
74,595916,Alathur
185,581875,Alavadda
519,590140,Alavala
519,590140,Alavala
211,590754,Alavalapadu
299,590666,Alavalapadu
629,593454,Alavalapadu
621,593260,Alidena
557,581538,Alikam
606,596272,Alimelu Manga Puram
606,596272,Alimelu Manga Puram
412,909993,Alinakipalem
629,593460,Alireddipalle
615,591664,Alivelumangapuram
80,588035,Aliveru
208,581130,Allada
478,583169,Alladapalem
208,581131,Alladapeta
89,593114,Alladupalle
89,593114,Alladupalle
618,596231,Allamadugu
618,596231,Allamadugu
618,911842,Allamadugu Hw
564,588004,Allamcherlarajupalem
