District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name,Village Code,Village Name,Water Body Name,SS/LS/Resarvior,Ownership,Lease/Auction,TWSA,EWSA,Cluster Name
519,Srikakulam,4783,Hiramandalam,214282,Gummuluru,588591,Gummuluru,Chukkavani Tank,SS,GP,Lease,22.9,6.23,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214282,Gummuluru,588591,Gummuluru,Chakalavani Tank,SS,GP,Lease,6.14,1.67,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214282,Gummuluru,588591,Gummuluru,Pothalavani Tank,SS,GP,Lease,6.65,1.81,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214976,Poduru,588702,Poduru,Karnam Tank,SS,GP,Lease,14.53,3.96,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,199857,A.v.nagaram,587328,A.v.nagaram,Korlavani Tank,SS,GP,Auction,13.8,3.34,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,199857,A.v.nagaram,587328,A.v.nagaram,Kotha Tank,SS,GP,Auction,10.04,2.31,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,199857,A.v.nagaram,587328,A.v.nagaram,Sondipatruni Tank,SS,GP,Auction,11.29,2.65,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,203223,Achavaram,589336,Achavaram,Madulakarra Tank,SS,GP,Auction,11.92,2.82,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Thammayya Tank,SS,GP,Auction,21.95,5.56,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Nilageri Tank,SS,GP,Auction,12.92,3.1,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Guddalanaidu Tank,SS,GP,Auction,10.21,2.36,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Nallamuvalli Tank,SS,GP,Auction,11.92,2.82,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Dongalanaidu Tank,SS,GP,Auction,12.3,2.93,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Tivva Tank,SS,GP,Auction,33.87,8.8,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Koneru,SS,GP,Auction,16.94,4.19,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Malavappa Tank,SS,GP,Auction,11.92,2.82,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Jogi Tank,SS,GP,Auction,12.67,3.03,HIRAMANDALAM
